"Kod";Nazwa;ludność w tysiącach;
2002103;"Suraż (3)";1,91;
2002104;"Suraż - miasto (4)";0,97;
2002105;"Suraż - obszar wiejski (5)";0,94;
2002112;"Turośń Kościelna (2)";7,06;
2002123;"Tykocin (3)";5,66;
2002124;"Tykocin - miasto (4)";1,84;
2002125;"Tykocin - obszar wiejski (5)";3,81;
2002133;"Wasilków (3)";20,96;
2002134;"Wasilków - miasto (4)";12,77;
2002135;"Wasilków - obszar wiejski (5)";8,19;
2002143;"Zabłudów (3)";10,02;
2002144;"Zabłudów - miasto (4)";2,49;
2002145;"Zabłudów - obszar wiejski (5)";7,54;
2002152;"Zawady (2)";2,46;
2003000;"Powiat bielski";50,60;
2003011;"Bielsk Podlaski (1)";23,82;
2003021;"Brańsk (1)";3,49;
2003032;"Bielsk Podlaski (2)";6,39;
2003042;"Boćki (2)";3,80;
2003052;"Brańsk (2)";5,17;
2003062;"Orla (2)";2,40;
2003072;"Rudka (2)";1,65;
2003082;"Wyszki (2)";3,87;
2004000;"Powiat grajewski";44,22;
2004011;"Grajewo (1)";20,90;
2004022;"Grajewo (2)";5,45;
2004032;"Radziłów (2)";4,30;
2004043;"Rajgród (3)";4,58;
2004044;"Rajgród - miasto (4)";1,39;
2004045;"Rajgród - obszar wiejski (5)";3,19;
2004053;"Szczuczyn (3)";5,70;
2004054;"Szczuczyn - miasto (4)";3,14;
2004055;"Szczuczyn - obszar wiejski (5)";2,57;
2004062;"Wąsosz (2)";3,30;
2005000;"Powiat hajnowski";38,82;
2005011;"Hajnówka (1)";18,98;
2005022;"Białowieża (2)";2,05;
2005032;"Czeremcha (2)";2,67;
2005042;"Czyże (2)";1,75;
2005052;"Dubicze Cerkiewne (2)";1,31;
2005062;"Hajnówka (2)";3,64;
2005073;"Kleszczele (3)";2,10;
2005074;"Kleszczele - miasto (4)";1,05;
2005075;"Kleszczele - obszar wiejski (5)";1,05;
2005082;"Narew (2)";3,22;
2005092;"Narewka (2)";3,11;
2006000;"Powiat kolneński";35,70;
2006011;"Kolno (1)";9,84;
2006022;"Grabowo (2)";3,22;
2006032;"Kolno (2)";7,91;
2006042;"Mały Płock (2)";4,40;
2006053;"Stawiski (3)";5,53;
2006054;"Stawiski - miasto (4)";2,00;
2006055;"Stawiski - obszar wiejski (5)";3,53;
2006062;"Turośl (2)";4,79;
2007000;"Powiat łomżyński";49,61;
2007013;"Jedwabne (3)";4,88;
2007014;"Jedwabne - miasto (4)";1,68;
2007015;"Jedwabne - obszar wiejski (5)";3,20;
2007022;"Łomża (2)";12,12;
2007032;"Miastkowo (2)";3,99;
2007043;"Nowogród (3)";3,86;
2007044;"Nowogród - miasto (4)";2,09;
2007045;"Nowogród - obszar wiejski (5)";1,77;
2007052;"Piątnica (2)";10,27;
2007062;"Przytuły (2)";1,92;
2007072;"Śniadowo (2)";5,03;
2007082;"Wizna (2)";3,62;
2007092;"Zbójna (2)";3,93;
2008000;"Powiat moniecki";37,36;
2008013;"Goniądz (3)";4,59;
2008014;"Goniądz - miasto (4)";1,72;
2008015;"Goniądz - obszar wiejski (5)";2,87;
2008022;"Jasionówka (2)";2,45;
2008032;"Jaświły (2)";4,27;
2008043;"Knyszyn (3)";4,46;
2008044;"Knyszyn - miasto (4)";2,64;
2008045;"Knyszyn - obszar wiejski (5)";1,82;
2008052;"Krypno (2)";3,72;
2008063;"Mońki (3)";13,96;
2008064;"Mońki - miasto (4)";9,45;
2008065;"Mońki - obszar wiejski (5)";4,51;
2008072;"Trzcianne (2)";3,92;
2009000;"Powiat sejneński";18,65;
2009011;"Sejny (1)";4,89;
2009022;"Giby (2)";2,47;
2009032;"Krasnopol (2)";3,54;
2009042;"Puńsk (2)";3,95;
2009052;"Sejny (2)";3,80;
2010000;"Powiat siemiatycki";40,64;
2010011;"Siemiatycze (1)";13,39;
2010023;"Drohiczyn (3)";5,68;
2010024;"Drohiczyn - miasto (4)";1,75;
2010025;"Drohiczyn - obszar wiejski (5)";3,93;
2010032;"Dziadkowice (2)";2,51;
2010042;"Grodzisk (2)";3,76;
2010052;"Mielnik (2)";2,04;
2010062;"Milejczyce (2)";1,60;
2010072;"Nurzec-Stacja (2)";3,45;
2010082;"Perlejewo (2)";2,49;
2010092;"Siemiatycze (2)";5,72;
2011000;"Powiat sokólski";61,25;
2011013;"Dąbrowa Białostocka (3)";10,07;
2011014;"Dąbrowa Białostocka - miasto (4)";5,01;
2011015;"Dąbrowa Białostocka - obszar wiejski (5)";5,06;
2011022;"Janów (2)";3,72;
2011032;"Korycin (2)";3,05;
2011043;"Krynki (3)";2,69;
2011044;"Krynki - miasto (4)";2,13;
2011045;"Krynki - obszar wiejski (5)";0,56;
2011052;"Kuźnica (2)";3,63;
2011062;"Nowy Dwór (2)";2,18;
2011072;"Sidra (2)";3,04;
2011083;"Sokółka (3)";23,87;
2011084;"Sokółka - miasto (4)";17,09;
2011085;"Sokółka - obszar wiejski (5)";6,78;
2011093;"Suchowola (3)";6,28;
2011094;"Suchowola - miasto (4)";2,03;
2011095;"Suchowola - obszar wiejski (5)";4,25;
2011102;"Szudziałowo (2)";2,73;
2012000;"Powiat suwalski";34,64;
2012012;"Bakałarzewo (2)";2,97;
2012022;"Filipów (2)";4,05;
2012032;"Jeleniewo (2)";3,11;
2012042;"Przerośl (2)";2,75;
2012052;"Raczki (2)";5,66;
2012062;"Rutka-Tartak (2)";2,21;
2012072;"Suwałki (2)";8,08;
2012082;"Szypliszki (2)";3,85;
2012092;"Wiżajny (2)";1,96;
2013000;"Powiat wysokomazowiecki";53,41;
2013011;"Wysokie Mazowieckie (1)";9,02;
2013023;"Ciechanowiec (3)";7,97;
2013024;"Ciechanowiec - miasto (4)";4,37;
2013025;"Ciechanowiec - obszar wiejski (5)";3,60;
2013033;"Czyżew (3)";5,98;
2013034;"Czyżew - miasto (4)";2,48;
2013035;"Czyżew - obszar wiejski (5)";3,50;
2013042;"Klukowo (2)";3,94;
2013052;"Kobylin-Borzymy (2)";2,94;
2013062;"Kulesze Kościelne (2)";2,92;
2013072;"Nowe Piekuty (2)";3,56;
2013082;"Sokoły (2)";5,21;
2013093;"Szepietowo (3)";6,40;
2013094;"Szepietowo - miasto (4)";2,02;
2013095;"Szepietowo - obszar wiejski (5)";4,38;
2013102;"Wysokie Mazowieckie (2)";5,48;
2014000;"Powiat zambrowski";41,37;
2014011;"Zambrów (1)";20,85;
2014022;"Kołaki Kościelne (2)";2,15;
2014032;"Rutki (2)";5,08;
2014042;"Szumowo (2)";4,54;
2014052;"Zambrów (2)";8,75;
2061000;"Powiat m. Białystok";291,69;
2061011;"Białystok (1)";291,69;
2062000;"Powiat m. Łomża";59,71;
2062011;"Łomża (1)";59,71;
2063000;"Powiat m. Suwałki";68,23;
2063011;"Suwałki (1)";68,23;
2200000;"POMORSKIE";2359,57;
2201000;"Powiat bytowski";76,50;
2201012;"Borzytuchom (2)";3,52;
2201023;"Bytów (3)";25,05;
2201024;"Bytów - miasto (4)";16,34;
2201025;"Bytów - obszar wiejski (5)";8,71;
2201032;"Czarna Dąbrówka (2)";5,69;
2201042;"Kołczygłowy (2)";4,09;
2201052;"Lipnica (2)";5,17;
2201063;"Miastko (3)";17,83;
2201064;"Miastko - miasto (4)";9,40;
2201065;"Miastko - obszar wiejski (5)";8,44;
2201072;"Parchowo (2)";3,82;
2201082;"Studzienice (2)";3,63;
2201092;"Trzebielino (2)";3,52;
2201102;"Tuchomie (2)";4,19;
2202000;"Powiat chojnicki";96,02;
2202011;"Chojnice (1)";38,73;
2202023;"Brusy (3)";14,26;
2202024;"Brusy - miasto (4)";5,06;
2202025;"Brusy - obszar wiejski (5)";9,20;
2202032;"Chojnice (2)";19,51;
2202043;"Czersk (3)";21,26;
2202044;"Czersk - miasto (4)";9,85;
2202045;"Czersk - obszar wiejski (5)";11,41;
2202052;"Konarzyny (2)";2,26;
2203000;"Powiat człuchowski";53,14;
2203011;"Człuchów (1)";13,03;
2203023;"Czarne (3)";8,52;
2203024;"Czarne - miasto (4)";5,57;
2203025;"Czarne - obszar wiejski (5)";2,94;
2203032;"Człuchów (2)";10,81;
2203043;"Debrzno (3)";8,48;
2203044;"Debrzno - miasto (4)";4,83;
2203045;"Debrzno - obszar wiejski (5)";3,65;
2203052;"Koczała (2)";3,12;
2203062;"Przechlewo (2)";5,84;
2203072;"Rzeczenica (2)";3,33;
2204000;"Powiat gdański";131,73;
2204011;"Pruszcz Gdański (1)";32,17;
2204022;"Cedry Wielkie (2)";6,79;
2204032;"Kolbudy (2)";21,20;
2204042;"Pruszcz Gdański (2)";37,95;
2204052;"Przywidz (2)";6,16;
2204062;"Pszczółki (2)";11,17;
2204072;"Suchy Dąb (2)";4,22;
2204082;"Trąbki Wielkie (2)";12,07;
2205000;"Powiat kartuski";153,81;
2205012;"Chmielno (2)";7,81;
2205023;"Kartuzy (3)";34,35;
2205024;"Kartuzy - miasto (4)";13,80;
2205025;"Kartuzy - obszar wiejski (5)";20,56;
2205032;"Przodkowo (2)";11,34;
2205042;"Sierakowice (2)";20,95;
2205052;"Somonino (2)";11,31;
2205062;"Stężyca (2)";11,36;
2205072;"Sulęczyno (2)";5,70;
2205083;"Żukowo (3)";50,98;
2205084;"Żukowo - miasto (4)";6,71;
2205085;"Żukowo - obszar wiejski (5)";44,27;
2206000;"Powiat kościerski";72,20;
2206011;"Kościerzyna (1)";23,30;
2206022;"Dziemiany (2)";4,44;
2206032;"Karsin (2)";6,12;
2206042;"Kościerzyna (2)";16,14;
2206052;"Liniewo (2)";4,48;
2206062;"Lipusz (2)";3,76;
2206072;"Nowa Karczma (2)";7,24;
2206082;"Stara Kiszewa (2)";6,74;
2207000;"Powiat kwidzyński";80,15;
2207011;"Kwidzyn (1)";36,85;
2207022;"Gardeja (2)";8,07;
2207032;"Kwidzyn (2)";11,41;
2207043;"Prabuty (3)";12,23;
2207044;"Prabuty - miasto (4)";8,09;
2207045;"Prabuty - obszar wiejski (5)";4,14;
2207052;"Ryjewo (2)";5,62;
2207062;"Sadlinki (2)";5,96;
2208000;"Powiat lęborski";63,68;
2208011;"Lębork (1)";34,00;
2208021;"Łeba (1)";3,02;
2208032;"Cewice (2)";7,45;
2208042;"Nowa Wieś Lęborska (2)";13,67;
2208052;"Wicko (2)";5,53;
2209000;"Powiat malborski";60,65;
2209011;"Malbork (1)";36,71;
2209032;"Lichnowy (2)";4,21;
2209042;"Malbork (2)";5,10;
2209062;"Miłoradz (2)";3,23;
2209073;"Nowy Staw (3)";7,06;
2209074;"Nowy Staw - miasto (4)";4,00;
2209075;"Nowy Staw - obszar wiejski (5)";3,06;
2209082;"Stare Pole (2)";4,34;
2210000;"Powiat nowodworski";33,63;
2210011;"Krynica Morska (1)";1,17;
2210023;"Nowy Dwór Gdański (3)";16,89;
2210024;"Nowy Dwór Gdański - miasto (4)";9,47;
2210025;"Nowy Dwór Gdański - obszar wiejski (5)";7,41;
2210032;"Ostaszewo (2)";2,93;
2210042;"Stegna (2)";9,25;
2210052;"Sztutowo (2)";3,40;
2211000;"Powiat pucki";91,66;
2211011;"Hel (1)";2,79;
2211023;"Jastarnia (3)";3,48;
2211024;"Jastarnia - miasto (4)";2,60;
2211025;"Jastarnia - obszar wiejski (5)";0,88;
2211031;"Puck (1)";10,46;
2211043;"Władysławowo (3)";14,30;
2211044;"Władysławowo - miasto (4)";9,24;
2211045;"Władysławowo - obszar wiejski (5)";5,06;
2211052;"Kosakowo (2)";21,44;
2211062;"Krokowa (2)";10,50;
2211072;"Puck (2)";28,70;
2212000;"Powiat słupski";96,29;
2212011;"Ustka (1)";13,72;
2212022;"Damnica (2)";5,61;
2212032;"Dębnica Kaszubska (2)";8,98;
2212042;"Główczyce (2)";8,26;
2212053;"Kępice (3)";8,17;
2212054;"Kępice - miasto (4)";3,28;
2212055;"Kępice - obszar wiejski (5)";4,89;
2212062;"Kobylnica (2)";14,37;
2212072;"Potęgowo (2)";6,48;
2212082;"Redzikowo (2)";19,57;
2212092;"Smołdzino (2)";3,08;
2212102;"Ustka (2)";8,03;
2213000;"Powiat starogardzki";125,13;
2213013;"Czarna Woda (3)";3,01;
2213014;"Czarna Woda - miasto (4)";2,64;
2213015;"Czarna Woda - obszar wiejski (5)";0,37;
2213021;"Skórcz (1)";3,44;
2213031;"Starogard Gdański (1)";45,30;
2213042;"Bobowo (2)";3,16;
2213052;"Kaliska (2)";5,31;
2213062;"Lubichowo (2)";6,89;
2213072;"Osieczna (2)";2,69;
2213082;"Osiek (2)";2,25;
2213093;"Skarszewy (3)";14,49;
2213094;"Skarszewy - miasto (4)";6,60;
2213095;"Skarszewy - obszar wiejski (5)";7,89;
2213102;"Skórcz (2)";4,30;
2213112;"Smętowo Graniczne (2)";4,82;
2213122;"Starogard Gdański (2)";17,26;
2213132;"Zblewo (2)";12,21;
2214000;"Powiat tczewski";111,24;
2214011;"Tczew (1)";56,94;
2214023;"Gniew (3)";14,33;
2214024;"Gniew - miasto (4)";6,15;
2214025;"Gniew - obszar wiejski (5)";8,18;
2214032;"Morzeszczyn (2)";3,33;
2214043;"Pelplin (3)";15,04;
2214044;"Pelplin - miasto (4)";7,12;
2214045;"Pelplin - obszar wiejski (5)";7,92;
2214052;"Subkowy (2)";5,35;
2214062;"Tczew (2)";16,26;
2215000;"Powiat wejherowski";229,45;
2215011;"Reda (1)";28,70;
2215021;"Rumia (1)";53,32;
2215031;"Wejherowo (1)";46,10;
2215042;"Choczewo (2)";4,95;
2215052;"Gniewino (2)";7,41;
2215062;"Linia (2)";6,44;
2215072;"Luzino (2)";17,96;
2215082;"Łęczyce (2)";11,99;
2215092;"Szemud (2)";21,62;
2215102;"Wejherowo (2)";30,96;
2216000;"Powiat sztumski";38,34;
2216013;"Dzierzgoń (3)";8,67;
2216014;"Dzierzgoń - miasto (4)";4,89;
2216015;"Dzierzgoń - obszar wiejski (5)";3,77;
2216022;"Mikołajki Pomorskie (2)";3,34;
2216032;"Stary Dzierzgoń (2)";3,43;
2216042;"Stary Targ (2)";5,89;
2216053;"Sztum (3)";17,01;
2216054;"Sztum - miasto (4)";9,10;
2216055;"Sztum - obszar wiejski (5)";7,91;
2261000;"Powiat m. Gdańsk";487,37;
2261011;"Gdańsk (1)";487,37;
2262000;"Powiat m. Gdynia";241,19;
2262011;"Gdynia (1)";241,19;
2263000;"Powiat m. Słupsk";85,50;
2263011;"Słupsk (1)";85,50;
2264000;"Powiat m. Sopot";31,90;
2264011;"Sopot (1)";31,90;
2400000;"ŚLĄSKIE";4320,13;
2401000;"Powiat będziński";144,69;
2401011;"Będzin (1)";53,85;
2401021;"Czeladź (1)";29,88;
2401031;"Wojkowice (1)";8,48;
2401042;"Bobrowniki (2)";12,56;
2401052;"Mierzęcice (2)";7,99;
2401062;"Psary (2)";12,33;
2401073;"Siewierz (3)";12,77;
2401074;"Siewierz - miasto (4)";5,73;
2401075;"Siewierz - obszar wiejski (5)";7,04;
2401081;"Sławków (1)";6,84;
2402000;"Powiat bielski";165,82;
2402011;"Szczyrk (1)";5,28;
2402022;"Bestwina (2)";12,20;
2402032;"Buczkowice (2)";11,17;
2402043;"Czechowice-Dziedzice (3)";44,41;
2402044;"Czechowice-Dziedzice - miasto (4)";34,78;
2402045;"Czechowice-Dziedzice - obszar wiejski (5)";9,63;
2402052;"Jasienica (2)";25,24;
2402062;"Jaworze (2)";7,42;
2402072;"Kozy (2)";13,17;
2402082;"Porąbka (2)";15,44;
2402093;"Wilamowice (3)";18,22;
2402094;"Wilamowice - miasto (4)";3,17;
2402095;"Wilamowice - obszar wiejski (5)";15,06;
2402102;"Wilkowice (2)";13,27;
2403000;"Powiat cieszyński";174,79;
2403011;"Cieszyn (1)";32,95;
2403021;"Ustroń (1)";15,85;
2403031;"Wisła (1)";10,64;
2403042;"Brenna (2)";11,76;
2403052;"Chybie (2)";9,62;
2403062;"Dębowiec (2)";5,78;
2403072;"Goleszów (2)";13,13;
2403082;"Hażlach (2)";10,74;
2403092;"Istebna (2)";12,20;
2403103;"Skoczów (3)";26,19;
2403104;"Skoczów - miasto (4)";13,42;
2403105;"Skoczów - obszar wiejski (5)";12,76;
2403113;"Strumień (3)";13,23;
2403114;"Strumień - miasto (4)";3,56;
2403115;"Strumień - obszar wiejski (5)";9,68;
2403122;"Zebrzydowice (2)";12,70;
2404000;"Powiat częstochowski";131,57;
2404013;"Blachownia (3)";12,43;
2404014;"Blachownia - miasto (4)";9,04;
2404015;"Blachownia - obszar wiejski (5)";3,39;
2404022;"Dąbrowa Zielona (2)";3,63;
2404032;"Janów (2)";5,85;
2404042;"Kamienica Polska (2)";5,37;
2404052;"Kłomnice (2)";12,89;
2404063;"Koniecpol (3)";8,65;
2404064;"Koniecpol - miasto (4)";5,36;
2404065;"Koniecpol - obszar wiejski (5)";3,30;
2404072;"Konopiska (2)";10,82;
2404082;"Kruszyna (2)";4,66;
2404092;"Lelów (2)";4,52;
2404102;"Mstów (2)";10,85;
2404112;"Mykanów (2)";15,35;
2404123;"Olsztyn (3)";8,25;
2404124;"Olsztyn - miasto (4)";2,49;
2404125;"Olsztyn - obszar wiejski (5)";5,76;
2404132;"Poczesna (2)";12,41;
2404142;"Przyrów (2)";3,54;
2404152;"Rędziny (2)";9,47;
2404162;"Starcza (2)";2,90;
2405000;"Powiat gliwicki";113,18;
2405011;"Knurów (1)";35,62;
2405021;"Pyskowice (1)";17,24;
2405032;"Gierałtowice (2)";12,67;
2405042;"Pilchowice (2)";12,72;
2405052;"Rudziniec (2)";10,83;
2405063;"Sośnicowice (3)";9,06;
2405064;"Sośnicowice - miasto (4)";1,96;
2405065;"Sośnicowice - obszar wiejski (5)";7,11;
2405073;"Toszek (3)";9,24;
2405074;"Toszek - miasto (4)";3,49;
2405075;"Toszek - obszar wiejski (5)";5,75;
2405082;"Wielowieś (2)";5,81;
2406000;"Powiat kłobucki";81,96;
2406013;"Kłobuck (3)";19,65;
2406014;"Kłobuck - miasto (4)";12,22;
2406015;"Kłobuck - obszar wiejski (5)";7,43;
2406023;"Krzepice (3)";8,51;
2406024;"Krzepice - miasto (4)";4,10;
2406025;"Krzepice - obszar wiejski (5)";4,41;
2406032;"Lipie (2)";5,97;
2406042;"Miedźno (2)";7,43;
2406052;"Opatów (2)";6,61;
2406062;"Panki (2)";4,82;
2406072;"Popów (2)";5,71;
2406082;"Przystajń (2)";5,70;
2406092;"Wręczyca Wielka (2)";17,56;
2407000;"Powiat lubliniecki";74,89;
2407011;"Lubliniec (1)";23,35;
2407022;"Boronów (2)";3,32;
2407032;"Ciasna (2)";7,21;
2407042;"Herby (2)";6,39;
2407052;"Kochanowice (2)";6,93;
2407062;"Koszęcin (2)";11,85;
2407072;"Pawonków (2)";6,48;
2407083;"Woźniki (3)";9,37;
2407084;"Woźniki - miasto (4)";4,12;
2407085;"Woźniki - obszar wiejski (5)";5,24;
2408000;"Powiat mikołowski";100,00;
2408011;"Łaziska Górne (1)";21,12;
2408021;"Mikołów (1)";41,62;
2408031;"Orzesze (1)";21,99;
2408042;"Ornontowice (2)";6,21;
2408052;"Wyry (2)";9,08;
2409000;"Powiat myszkowski";67,57;
2409011;"Myszków (1)";29,38;
2409023;"Koziegłowy (3)";14,11;
2409024;"Koziegłowy - miasto (4)";2,38;
2409025;"Koziegłowy - obszar wiejski (5)";11,73;
2409032;"Niegowa (2)";5,37;
2409042;"Poraj (2)";10,58;
2409053;"Żarki (3)";8,13;
2409054;"Żarki - miasto (4)";4,33;
2409055;"Żarki - obszar wiejski (5)";3,81;
2410000;"Powiat pszczyński";110,78;
2410012;"Goczałkowice-Zdrój (2)";6,62;
2410022;"Kobiór (2)";5,10;
2410032;"Miedźna (2)";16,07;
2410042;"Pawłowice (2)";17,56;
2410053;"Pszczyna (3)";52,70;
2410054;"Pszczyna - miasto (4)";25,03;
2410055;"Pszczyna - obszar wiejski (5)";27,67;
2410062;"Suszec (2)";12,72;
2411000;"Powiat raciborski";99,33;
2411011;"Racibórz (1)";49,65;
2411022;"Kornowac (2)";5,14;
2411033;"Krzanowice (3)";5,27;
2411034;"Krzanowice - miasto (4)";2,00;
2411035;"Krzanowice - obszar wiejski (5)";3,27;
2411042;"Krzyżanowice (2)";10,70;
2411053;"Kuźnia Raciborska (3)";10,58;
2411054;"Kuźnia Raciborska - miasto (4)";4,60;
2411055;"Kuźnia Raciborska - obszar wiejski (5)";5,98;
2411062;"Nędza (2)";6,64;
2411072;"Pietrowice Wielkie (2)";6,54;
2411082;"Rudnik (2)";4,80;
2412000;"Powiat rybnicki";76,67;
2412013;"Czerwionka-Leszczyny (3)";40,15;
2412014;"Czerwionka-Leszczyny - miasto (4)";26,52;
2412015;"Czerwionka-Leszczyny - obszar wiejski (5)";13,62;
2412022;"Gaszowice (2)";9,92;
2412032;"Jejkowice (2)";4,18;
2412042;"Lyski (2)";9,78;
2412052;"Świerklany (2)";12,64;
2413000;"Powiat tarnogórski";139,16;
2413011;"Kalety (1)";8,17;
2413021;"Miasteczko Śląskie (1)";6,96;
2413031;"Radzionków (1)";16,03;
2413041;"Tarnowskie Góry (1)";61,32;
2413052;"Krupski Młyn (2)";3,00;
2413062;"Ożarowice (2)";5,96;
2413072;"Świerklaniec (2)";13,17;
2413082;"Tworóg (2)";8,21;
2413092;"Zbrosławice (2)";16,34;
2414000;"Powiat bieruńsko-lędziński";59,44;
2414011;"Bieruń (1)";18,84;
2414021;"Imielin (1)";9,40;
2414031;"Lędziny (1)";16,33;
2414042;"Bojszowy (2)";8,58;
2414052;"Chełm Śląski (2)";6,30;
2415000;"Powiat wodzisławski";150,27;
2415011;"Pszów (1)";13,01;
2415021;"Radlin (1)";16,83;
2415031;"Rydułtowy (1)";20,17;
2415041;"Wodzisław Śląski (1)";44,83;
2415052;"Godów (2)";13,71;
2415062;"Gorzyce (2)";21,14;
2415072;"Lubomia (2)";7,64;
2415082;"Marklowice (2)";5,34;
2415092;"Mszana (2)";7,61;
2416000;"Powiat zawierciański";111,63;
2416011;"Poręba (1)";8,10;
2416021;"Zawiercie (1)";46,11;
2416032;"Irządze (2)";2,51;
2416042;"Kroczyce (2)";6,04;
2416053;"Łazy (3)";15,53;
2416054;"Łazy - miasto (4)";6,38;
2416055;"Łazy - obszar wiejski (5)";9,16;
2416063;"Ogrodzieniec (3)";8,87;
2416064;"Ogrodzieniec - miasto (4)";4,11;
2416065;"Ogrodzieniec - obszar wiejski (5)";4,76;
2416073;"Pilica (3)";8,04;
2416074;"Pilica - miasto (4)";1,76;
2416075;"Pilica - obszar wiejski (5)";6,28;
2416083;"Szczekociny (3)";6,87;
2416084;"Szczekociny - miasto (4)";3,33;
2416085;"Szczekociny - obszar wiejski (5)";3,55;
2416093;"Włodowice (3)";5,13;
2416094;"Włodowice - miasto (4)";1,15;
2416095;"Włodowice - obszar wiejski (5)";3,98;
2416102;"Żarnowiec (2)";4,42;
2417000;"Powiat żywiecki";148,83;
2417011;"Żywiec (1)";29,73;
2417022;"Czernichów (2)";6,36;
2417032;"Gilowice (2)";6,25;
2417042;"Jeleśnia (2)";12,59;
2417052;"Koszarawa (2)";2,21;
2417062;"Lipowa (2)";10,95;
2417072;"Łękawica (2)";4,53;
2417082;"Łodygowice (2)";15,26;
2417092;"Milówka (2)";9,81;
2417102;"Radziechowy-Wieprz (2)";12,87;
2417112;"Rajcza (2)";8,30;
2417122;"Ślemień (2)";3,51;
2417132;"Świnna (2)";7,88;
2417142;"Ujsoły (2)";4,17;
2417152;"Węgierska Górka (2)";14,43;
2461000;"Powiat m. Bielsko-Biała";165,77;
2461011;"Bielsko-Biała (1)";165,77;
2462000;"Powiat m. Bytom";147,76;
2462011;"Bytom (1)";147,76;
2463000;"Powiat m. Chorzów";100,59;
2463011;"Chorzów (1)";100,59;
2464000;"Powiat m. Częstochowa";205,97;
2464011;"Częstochowa (1)";205,97;
2465000;"Powiat m. Dąbrowa Górnicza";113,46;
2465011;"Dąbrowa Górnicza (1)";113,46;
2466000;"Powiat m. Gliwice";169,92;
2466011;"Gliwice (1)";169,92;
2467000;"Powiat m. Jastrzębie-Zdrój";82,30;
2467011;"Jastrzębie-Zdrój (1)";82,30;
2468000;"Powiat m. Jaworzno";86,81;
2468011;"Jaworzno (1)";86,81;
2469000;"Powiat m. Katowice";279,19;
2469011;"Katowice (1)";279,19;
2470000;"Powiat m. Mysłowice";71,28;
2470011;"Mysłowice (1)";71,28;
2471000;"Powiat m. Piekary Śląskie";51,71;
2471011;"Piekary Śląskie (1)";51,71;
2472000;"Powiat m. Ruda Śląska";130,30;
2472011;"Ruda Śląska (1)";130,30;
2473000;"Powiat m. Rybnik";130,89;
2473011;"Rybnik (1)";130,89;
2474000;"Powiat m. Siemianowice Śląskie";63,40;
2474011;"Siemianowice Śląskie (1)";63,40;
2475000;"Powiat m. Sosnowiec";187,12;
2475011;"Sosnowiec (1)";187,12;
2476000;"Powiat m. Świętochłowice";45,43;
2476011;"Świętochłowice (1)";45,43;
2477000;"Powiat m. Tychy";122,05;
2477011;"Tychy (1)";122,05;
2478000;"Powiat m. Zabrze";153,84;
2478011;"Zabrze (1)";153,84;
2479000;"Powiat m. Żory";61,77;
2479011;"Żory (1)";61,77;
2600000;"ŚWIĘTOKRZYSKIE";1168,50;
2601000;"Powiat buski";67,82;
2601013;"Busko-Zdrój (3)";30,64;
2601014;"Busko-Zdrój - miasto (4)";14,37;
2601015;"Busko-Zdrój - obszar wiejski (5)";16,27;
2601022;"Gnojno (2)";4,22;
2601033;"Nowy Korczyn (3)";5,44;
2601034;"Nowy Korczyn - miasto (4)";0,90;
2601035;"Nowy Korczyn - obszar wiejski (5)";4,55;
2601043;"Pacanów (3)";6,87;
2601044;"Pacanów - miasto (4)";1,03;
2601045;"Pacanów - obszar wiejski (5)";5,84;
2601052;"Solec-Zdrój (2)";4,87;
2601063;"Stopnica (3)";7,07;
2601064;"Stopnica - miasto (4)";1,12;
2601065;"Stopnica - obszar wiejski (5)";5,95;
2601072;"Tuczępy (2)";3,59;
2601083;"Wiślica (3)";5,11;
2601084;"Wiślica - miasto (4)";0,44;
2601085;"Wiślica - obszar wiejski (5)";4,66;
2602000;"Powiat jędrzejowski";81,06;
2602012;"Imielno (2)";4,15;
2602023;"Jędrzejów (3)";26,49;
2602024;"Jędrzejów - miasto (4)";14,03;
2602025;"Jędrzejów - obszar wiejski (5)";12,46;
2602033;"Małogoszcz (3)";11,05;
2602034;"Małogoszcz - miasto (4)";3,36;
2602035;"Małogoszcz - obszar wiejski (5)";7,69;
2602042;"Nagłowice (2)";4,69;
2602052;"Oksa (2)";4,36;
2602063;"Sędziszów (3)";11,72;
2602064;"Sędziszów - miasto (4)";6,11;
2602065;"Sędziszów - obszar wiejski (5)";5,61;
2602072;"Słupia (2)";3,91;
2602082;"Sobków (2)";8,34;
2602093;"Wodzisław (3)";6,36;
2602094;"Wodzisław - miasto (4)";0,96;
2602095;"Wodzisław - obszar wiejski (5)";5,40;
2603000;"Powiat kazimierski";31,69;
2603012;"Bejsce (2)";3,84;
2603022;"Czarnocin (2)";3,57;
2603033;"Kazimierza Wielka (3)";15,21;
2603034;"Kazimierza Wielka - miasto (4)";5,00;
2603035;"Kazimierza Wielka - obszar wiejski (5)";10,22;
2603043;"Opatowiec (3)";2,96;
2603044;"Opatowiec - miasto (4)";0,31;
2603045;"Opatowiec - obszar wiejski (5)";2,65;
2603053;"Skalbmierz (3)";6,11;
2603054;"Skalbmierz - miasto (4)";1,19;
2603055;"Skalbmierz - obszar wiejski (5)";4,92;
2604000;"Powiat kielecki";211,76;
2604012;"Bieliny (2)";9,96;
2604023;"Bodzentyn (3)";10,97;
2604024;"Bodzentyn - miasto (4)";2,09;
2604025;"Bodzentyn - obszar wiejski (5)";8,88;
2604033;"Chęciny (3)";14,76;
